# Yale Bright Star Catalogue (BSC5), Hoffleit & Warren 1991, ADC/CDS V/50.
# Trimmed for the Simathon 02 demo. Source: tdc-www.harvard.edu/catalogs/bsc5.dat.gz
# ra_deg,dec_deg,vmag,b_v,dist_pc   (dist_pc = 0 means no usable parallax)
1.29125,45.22917,6.700,0.070,0.0
1.26583,-0.50306,6.290,1.100,0.0
1.33375,-5.70750,4.610,1.040,71.4
1.42500,13.39611,5.510,0.900,0.0
1.56667,58.43667,5.960,0.670,21.3
1.57917,-49.07500,5.700,0.520,20.0
1.61042,64.19611,5.590,-0.030,0.0
1.65333,29.02139,6.130,0.750,14.9
1.70875,-23.10750,6.180,0.380,0.0
1.82583,-17.38639,6.190,0.140,0.0
1.93375,-2.54889,6.430,-0.140,0.0
1.94500,-22.50889,5.940,0.140,0.0
2.01458,-33.52944,5.680,1.120,0.0
2.05042,-2.44778,6.070,1.380,0.0
2.09708,29.09056,2.060,-0.110,31.2
2.07250,-8.82389,5.990,1.040,0.0
2.17083,36.62667,6.190,0.480,22.7
2.13917,-17.57750,6.060,1.670,0.0
2.21750,25.46278,6.230,0.970,0.0
2.33417,79.71472,6.010,0.190,500.0
2.29458,59.14972,2.270,0.340,13.9
2.26000,18.21194,5.530,1.040,0.0
2.26000,-54.00194,6.330,0.740,111.1
2.33750,-27.98778,5.420,0.420,43.5
2.35292,-45.74750,3.880,1.030,15.2
2.50958,11.14556,5.510,-0.070,58.8
2.58042,46.07222,5.030,0.400,0.0
2.62375,57.16556,6.740,-0.080,0.0
2.57833,-5.24861,5.840,0.980,0.0
2.50875,-82.22389,5.280,1.050,0.0
2.67833,-12.58000,5.850,1.010,0.0
2.66083,-73.22444,6.640,0.370,0.0
2.81625,-15.46806,4.890,0.490,14.9
2.89333,-27.79972,5.410,1.340,0.0
2.93333,-35.13306,5.250,0.440,29.4
2.99625,48.15250,6.160,1.450,0.0
3.04167,-17.93833,5.250,1.480,0.0
3.21000,37.69333,6.730,-0.130,0.0
3.30917,15.18361,2.830,-0.230,0.0
3.35000,26.98722,6.300,0.650,166.7
3.37833,41.03528,5.720,0.310,41.7
3.42542,-26.02194,5.940,1.550,0.0
3.43417,-26.28472,6.310,1.480,0.0
3.50958,33.20611,6.250,-0.010,0.0
3.65083,20.20667,4.800,1.570,66.7
3.61500,-7.78056,5.120,1.620,333.3
3.33083,-84.99417,5.770,1.720,0.0
3.66000,-18.93278,4.440,1.660,34.5
3.73375,22.28417,6.240,-0.010,0.0
3.74500,8.82083,5.790,0.310,58.8
3.72708,-9.56972,5.750,-0.080,0.0
3.77917,31.53583,6.450,0.000,0.0
3.79417,27.28306,6.350,-0.020,0.0
3.74250,-34.90444,6.170,1.340,0.0
4.05833,76.95083,6.350,-0.070,76.9
4.09000,43.59472,6.150,0.050,0.0
4.03708,-31.44639,5.670,1.350,0.0
3.98000,-75.91139,6.490,1.000,0.0
4.14208,8.24000,6.110,0.920,0.0
4.23792,61.53333,5.740,0.880,0.0
4.17708,-20.21056,6.470,-0.090,0.0
4.28792,47.94750,5.890,-0.090,0.0
4.27292,38.68167,4.610,0.060,45.5
4.20417,-78.78056,6.770,0.460,0.0
4.42917,51.43306,6.140,-0.130,0.0
4.38583,-19.05111,6.450,0.370,0.0
4.44875,1.68889,6.170,0.940,0.0
4.58208,36.78528,4.520,0.050,43.5
4.57167,11.20583,6.050,1.030,0.0
4.67542,43.79111,6.110,-0.080,0.0
4.65958,31.51722,5.870,-0.010,0.0
4.67417,-8.05278,6.460,0.680,18.9
4.67750,-43.23528,6.330,1.210,0.0
4.85708,-8.82389,3.560,1.220,76.9
4.92333,40.72972,6.330,1.180,0.0
5.02167,48.86528,6.520,0.000,0.0
5.01792,-64.87472,4.230,0.580,7.5
5.10167,30.93583,5.900,-0.100,0.0
5.18958,32.91139,5.790,1.590,0.0
5.14958,8.19028,5.370,1.340,0.0
5.22708,10.97694,6.560,0.000,200.0
5.28042,37.96861,5.180,0.420,58.8
5.16250,-69.62500,5.510,-0.050,90.9
5.38000,-28.98167,5.180,1.000,37.0
5.44292,-20.05778,5.120,1.820,0.0
5.60625,13.48250,6.230,1.220,0.0
5.36917,-77.42694,5.970,1.400,0.0
5.71583,-12.20944,6.390,0.660,20.4
5.80250,-31.03611,6.550,0.000,0.0
6.00833,38.57722,7.390,1.970,0.0
6.06500,52.02000,5.570,-0.120,250.0
6.19792,61.83111,5.400,0.000,66.7
6.12375,-2.21917,6.070,1.220,0.0
6.27667,53.04694,5.740,-0.060,0.0
